name,group,size
12th,5,136.31553
31st,1,234.63705
39th,5,46.81765
57th,5,76.65042
63rd,3,212.03694
Albion,6,30.97877
Calumet,1,319.94587
Foster,6,98.37672
Howard,6,36.12118
Jarvis,6,29.84254
Juneway,6,52.64692
Leone,6,44.98837
Montrose,4,338.79974
North Avenue,6,58.08089
Oak Street,6,53.76537
Ohio,6,92.60532
Osterman,6,88.56377
Rainbow,2,305.08088
Rogers,6,48.77414
South Shore,1,119.48374
